country,iso_code,date,daily_vaccinations_per_million
Poland,POL,2022-03-01,941.0
Portugal,PRT,2022-03-01,2349.0
Qatar,QAT,2022-03-01,4861.0
Romania,ROU,2022-03-01,269.0
Russia,RUS,2022-03-01,51.0
Saint Lucia,LCA,2022-03-01,5222.0
Saint Vincent and the Grenadines,VCT,2022-03-01,180.0
Samoa,WSM,2022-03-01,5106.0
San Marino,SMR,2022-03-01,7263.0
Sao Tome and Principe,STP,2022-03-01,1200.0
Saudi Arabia,SAU,2022-03-01,2443.0
Scotland,OWID_SCT,2022-03-01,930.0
Senegal,SEN,2022-03-01,59.0
Serbia,SRB,2022-03-01,244.0
Seychelles,SYC,2022-03-01,1678.0
Sierra Leone,SLE,2022-03-01,474.0
Singapore,SGP,2022-03-01,3268.0
Sint Maarten (Dutch part),SXM,2022-03-01,415.0
Slovakia,SVK,2022-03-01,188.0
Slovenia,SVN,2022-03-01,290.0
Solomon Islands,SLB,2022-03-01,3195.0
Somalia,SOM,2022-03-01,933.0
South Africa,ZAF,2022-03-01,1260.0
South Korea,KOR,2022-03-01,2334.0
South Sudan,SSD,2022-03-01,144.0
Spain,ESP,2022-03-01,1044.0
Sri Lanka,LKA,2022-03-01,4850.0
Sudan,SDN,2022-03-01,468.0
Suriname,SUR,2022-03-01,270.0
Sweden,SWE,2022-03-01,2217.0
Switzerland,CHE,2022-03-01,443.0
Syria,SYR,2022-03-01,528.0
Taiwan,TWN,2022-03-01,7080.0
Tajikistan,TJK,2022-03-01,6169.0
Tanzania,TZA,2022-03-01,600.0
Thailand,THA,2022-03-01,3380.0
Timor,TLS,2022-03-01,638.0
Togo,TGO,2022-03-01,616.0
Trinidad and Tobago,TTO,2022-03-01,882.0
Tunisia,TUN,2022-03-01,373.0
Turkey,TUR,2022-03-01,993.0
Turks and Caicos Islands,TCA,2022-03-01,637.0
Uganda,UGA,2022-03-01,1218.0
United Arab Emirates,ARE,2022-03-01,1769.0
United Kingdom,GBR,2022-03-01,704.0
United States,USA,2022-03-01,837.0
Uruguay,URY,2022-03-01,2062.0
Uzbekistan,UZB,2022-03-01,3037.0
Venezuela,VEN,2022-03-01,0.0
Vietnam,VNM,2022-03-01,4228.0
Wales,OWID_WLS,2022-03-01,785.0
Wallis and Futuna,WLF,2022-03-01,1082.0
Yemen,YEM,2022-03-01,24.0
Zambia,ZMB,2022-03-01,1066.0
Zimbabwe,ZWE,2022-03-01,616.0
United States of America,USA,2022-03-01,712
Antarctica,ANT,2022-03-01,192.4
